timestamp,num_pkts,avg_ttl,median_ttl,10_percentil_ttl,25_percentil_ttl,75_percentil_ttl,90_percentil_ttl,max_ttl,min_ttl,attack,test_categorical
1105,19,81.8421052631579,64,41.8,64,100,121.6,208,22,Yes,19
1110,14,133.714285714286,82,64,64,224,224,224,44,No,14
1115,22,97.7727272727273,64,49,64,91,224,224,33,No,22
1120,23,69.7391304347826,64,40.8,64,100,100,100,33,Yes,23
1125,23,67.5217391304348,64,48,56.5,64,100,100,44,Yes,23
1130,49,65,64,44,64,64,71.2000000000001,100,33,Yes,49
1135,26,125.846153846154,64,58,64,208,224,224,44,No,26
1140,15,116.333333333333,64,52,64,224,224,224,33,No,15
1145,7,132.571428571429,64,64,64,224,224,224,64,No,7
1150,17,99.8823529411765,64,39.6,64,100,224,224,33,No,17
1155,14,119.214285714286,64,55.6,64,224,224,224,49,No,14
1160,12,80.75,100,46,64,100,100,100,33,Yes,12
1165,14,128.857142857143,64,64,64,220,224,224,44,No,14
1170,16,113.0625,64,54,64,224,224,224,33,No,16
1175,16,111.0625,64,50.5,64,224,224,224,44,No,16
1180,17,109.352941176471,64,47.6,64,224,224,224,33,No,17
1185,15,71.2666666666667,64,55,64,82,100,100,44,Yes,15
1190,35,67.3142857142857,64,55,59.5,64,100,100,33,Yes,35
1195,19,111.157894736842,64,61.6,64,208,224,224,44,No,19
1200,11,120.818181818182,64,44,64,224,224,224,33,No,11
1205,15,74.6666666666667,64,64,64,100,100,100,44,Yes,15
1210,19,65.421052631579,64,38.6,64,64,100,100,22,Yes,19
1215,13,100.076923076923,64,49.6,64,100,224,224,44,No,13
1220,14,73.2142857142857,64,50,64,100,100,100,33,Yes,14
1225,18,123.333333333333,64,64,64,220,224,224,44,No,18
1230,17,99.1764705882353,64,47,64,100,224,224,33,No,17
1235,5,92,64,52,64,64,160,224,44,No,5
1240,19,113,64,48.8,64,224,224,224,33,No,19
1245,15,115,64,55,64,224,224,224,44,No,15
1250,24,116.416666666667,64,46.4,64,224,224,224,33,No,24
1255,54,100.222222222222,64,64,64,64,222.8,224,44,No,54
1260,28,103.107142857143,82,64,64,100,207,207,33,Yes,28
1265,10,126,64,62,64,224,224,224,44,No,10
1270,18,115.833333333333,64,49.6,64,224,224,224,33,No,18
1275,14,107.214285714286,64,53.5,64,184,224,224,44,No,14
1280,14,120.071428571429,64,50,64,224,224,224,33,No,14
1285,17,126.823529411765,64,64,64,224,224,224,44,No,17
1290,20,84.25,64,48.5,51.5,64,220.4,224,33,No,20
1295,11,134.909090909091,64,64,64,224,224,224,44,No,11
1300,18,88,64,37.9,53.5,91,224,224,33,No,18
1305,23,104.695652173913,64,49,64,162,224,224,33,No,23
1310,15,115.2,64,56.8,64,224,224,224,44,No,15
1315,21,128.047619047619,64,64,64,208,224,224,33,No,21
1320,14,78,64,64,64,100,100,100,44,Yes,14
1325,14,122.642857142857,82,50,64,224,224,224,33,No,14
1330,14,70.8571428571429,64,64,64,64,100,100,52,Yes,14
1335,21,106.619047619048,64,44,64,224,224,224,33,No,21
1340,9,135.111111111111,64,64,64,224,224,224,64,No,9
1345,17,107.588235294118,64,48.8,64,208,224,224,33,No,17
1350,9,113.444444444444,64,48,64,224,224,224,44,No,9
1355,14,120.071428571429,64,50,64,224,224,224,33,No,14
1360,16,66.375,64,57,64,64,82,100,44,Yes,16
1365,23,97.1739130434783,64,45,64,100,224,224,33,No,23
